epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.46000000834465027,0.0010000000474974513,2.0578744411468506,0.46000000834465027,0.46000000834465027,0.5,1.9254989624023438,0.5,1.0
1,0.5174999833106995,0.0010000000474974513,2.012453556060791,0.5160550475120544,0.5625,0.5,1.9070613384246826,0.5,1.0
2,0.5,0.0010000000474974513,1.9691845178604126,0.5,0.47749999165534973,0.5,1.8849518299102783,0.5,1.0
3,0.5062500238418579,0.0010000000474974513,1.9412046670913696,0.5056689381599426,0.5575000047683716,0.5,1.8545231819152832,0.0,0.0
4,0.5199999809265137,0.0010000000474974513,1.8821345567703247,0.5206185579299927,0.5049999952316284,0.5,1.8324127197265625,0.0,0.0
5,0.48249998688697815,0.0010000000474974513,1.8810412883758545,0.4833333194255829,0.5074999928474426,0.5,1.8018310070037842,0.0,0.0
6,0.49125000834465027,0.0010000000474974513,1.8702658414840698,0.49176469445228577,0.5224999785423279,0.5,1.7736711502075195,0.5,1.0
7,0.5049999952316284,0.0010000000474974513,1.7978023290634155,0.5054054260253906,0.4675000011920929,0.5,1.7475602626800537,0.0,0.0
8,0.49000000953674316,0.0010000000474974513,1.7819257974624634,0.4900990128517151,0.4950000047683716,0.5,1.7207541465759277,0.0,0.0
9,0.5049999952316284,0.0010000000474974513,1.7431728839874268,0.5050504803657532,0.5,0.5,1.6961430311203003,0.5,1.0
10,0.5074999928474426,0.0010000000474974513,1.731475830078125,0.5072815418243408,0.5224999785423279,0.5,1.6690688133239746,0.5,1.0
11,0.4925000071525574,0.0010000000474974513,1.7101733684539795,0.4927184581756592,0.5074999928474426,0.5,1.6449534893035889,0.0,0.0
12,0.4975000023841858,0.0010000000474974513,1.676467776298523,0.4975000023841858,0.4975000023841858,0.5,1.6215671300888062,0.5,1.0
13,0.5137500166893005,0.0010000000474974513,1.6382899284362793,0.5130641460418701,0.5400000214576721,0.5,1.5982011556625366,0.5,1.0
14,0.5087500214576721,0.0010000000474974513,1.617605447769165,0.5091384053230286,0.48750001192092896,0.5,1.5754406452178955,0.5,1.0
15,0.5012500286102295,0.0010000000474974513,1.5984666347503662,0.501210629940033,0.5174999833106995,0.5,1.5554704666137695,0.0,0.0
